,seed,model,lambda,d_model,er_loss,no_epochs,max_len,recall,precision,f1,accuracy,dataset,time
934,23,SDFA_NAP_model,0.1,8,True,10,10,0.9012330899078176,0.980057282868636,0.93437621887642,0.9012330899078176,BPI20RequestForPayment,12.261873862380162
935,23,SDFA_NAP_model,0.2,8,True,10,10,0.900754220040704,0.979788724965101,0.9338607496261806,0.900754220040704,BPI20RequestForPayment,12.937341658351944
936,23,SDFA_NAP_model,0.5,8,True,10,10,0.8810008380222675,0.9831026213740512,0.924492725523652,0.8810008380222675,BPI20RequestForPayment,13.374627737654372
937,23,SDFA_NAP_model,0.1,8,True,10,20,0.8823177301568299,0.984333057036582,0.9234213808023064,0.8823177301568299,BPI20RequestForPayment,13.676310837548224
938,23,SDFA_NAP_model,0.2,8,True,10,20,0.7102837303962648,0.947638378724138,0.7695463000226063,0.7102837303962648,BPI20RequestForPayment,13.380470591550694
939,23,SDFA_NAP_model,0.5,8,True,10,20,0.6037351849634862,0.946719727623001,0.6538798114290372,0.6037351849634862,BPI20RequestForPayment,13.319491974916309
940,23,SDFA_NAP_model,0.1,8,True,10,30,0.5034119478031844,0.9773702240008524,0.583176582634084,0.5034119478031844,BPI20RequestForPayment,14.570635162293913
941,23,SDFA_NAP_model,0.2,8,True,10,30,0.8347898958458039,0.926286973388498,0.8507808890294491,0.8347898958458039,BPI20RequestForPayment,14.288369087781756
942,23,SDFA_NAP_model,0.5,8,True,10,30,0.8420926613192865,0.933111997913891,0.8610707560636001,0.8420926613192865,BPI20RequestForPayment,12.997460529208183
943,23,SDFA_NAP_model,0.1,16,True,10,5,0.908176702980965,0.9862405709094774,0.9417066995673892,0.908176702980965,BPI20RequestForPayment,10.116683695930988
944,23,SDFA_NAP_model,0.2,16,True,10,5,0.908176702980965,0.9864806081090194,0.9417998975611492,0.908176702980965,BPI20RequestForPayment,11.097693683300168
945,23,SDFA_NAP_model,0.5,16,True,10,5,0.9085358553813,0.9867094391549528,0.9422577466988136,0.9085358553813,BPI20RequestForPayment,11.20861254981719
946,23,SDFA_NAP_model,0.1,16,True,10,10,0.9063809409792888,0.984733233234442,0.940156127629914,0.9063809409792888,BPI20RequestForPayment,15.764904537471011
947,23,SDFA_NAP_model,0.2,16,True,10,10,0.9051837663115048,0.9837489694160372,0.9387989928801682,0.9051837663115048,BPI20RequestForPayment,15.48242382905446
948,23,SDFA_NAP_model,0.5,16,True,10,10,0.866634742008859,0.9352859061822664,0.8759555468345738,0.866634742008859,BPI20RequestForPayment,14.819764487538489
949,23,SDFA_NAP_model,0.1,16,True,10,20,0.9060217885789535,0.9847203999854712,0.9396883956529504,0.9060217885789535,BPI20RequestForPayment,16.568430533260106
950,23,SDFA_NAP_model,0.2,16,True,10,20,0.9056626361786184,0.9843813036360558,0.9394186036443378,0.9056626361786184,BPI20RequestForPayment,16.113693945808336
951,23,SDFA_NAP_model,0.5,16,True,10,20,0.6013408356279181,0.9146104571842258,0.613962061401172,0.6013408356279181,BPI20RequestForPayment,15.734574099909514
952,23,SDFA_NAP_model,0.1,16,True,10,30,0.9059020711121752,0.984570308769192,0.9395293611582692,0.9059020711121752,BPI20RequestForPayment,15.638455400103703
953,23,SDFA_NAP_model,0.2,16,True,10,30,0.9057823536453968,0.9842860474103484,0.939479887072508,0.9057823536453968,BPI20RequestForPayment,15.870812312699854
954,23,SDFA_NAP_model,0.5,16,True,10,30,0.903148569376272,0.981743323707144,0.9363751664042388,0.903148569376272,BPI20RequestForPayment,15.842187191406264
955,23,SDFA_NAP_model,0.1,32,True,10,5,0.906141506045732,0.9823393032893304,0.9387781273049997,0.906141506045732,BPI20RequestForPayment,12.343634941708295
956,23,SDFA_NAP_model,0.2,32,True,10,5,0.9063809409792888,0.9827766893205568,0.9392464501413528,0.9063809409792888,BPI20RequestForPayment,12.507953424891458
957,23,SDFA_NAP_model,0.5,32,True,10,5,0.9084161379145216,0.98681139183931,0.9420688991119244,0.9084161379145216,BPI20RequestForPayment,11.97222228324972
958,23,SDFA_NAP_model,0.1,32,True,10,10,0.9070992457799592,0.9856112098458194,0.9408719699020932,0.9070992457799592,BPI20RequestForPayment,14.600884433276953
959,23,SDFA_NAP_model,0.2,32,True,10,10,0.9060217885789535,0.984720291241877,0.9397168296588916,0.9060217885789535,BPI20RequestForPayment,14.315990696242078
960,23,SDFA_NAP_model,0.5,32,True,10,10,0.9063809409792888,0.9848862007402368,0.940045740863884,0.9063809409792888,BPI20RequestForPayment,14.936506350059062
961,23,SDFA_NAP_model,0.1,32,True,10,20,0.907338680713516,0.9855450699721168,0.9408171754305024,0.907338680713516,BPI20RequestForPayment,15.095712887635454
962,23,SDFA_NAP_model,0.2,32,True,10,20,0.9063809409792888,0.9851006776428426,0.9400878199768732,0.9063809409792888,BPI20RequestForPayment,14.830558316688984
963,23,SDFA_NAP_model,0.5,32,True,10,20,0.90554291871184,0.9841823872811102,0.9391124171305876,0.90554291871184,BPI20RequestForPayment,15.211183595936744
964,23,SDFA_NAP_model,0.1,32,True,10,30,0.906141506045732,0.9848313838484836,0.9398965576606922,0.906141506045732,BPI20RequestForPayment,15.052947929129004
965,23,SDFA_NAP_model,0.2,32,True,10,30,0.9068598108464024,0.9856234465081812,0.9406506266128332,0.9068598108464024,BPI20RequestForPayment,15.312376429326832
966,23,SDFA_NAP_model,0.5,32,True,10,30,0.8690290913444272,0.9390074972682196,0.8786611026011251,0.8690290913444272,BPI20RequestForPayment,14.523965424997732
967,23,NAP_model,0.0,8,False,10,5,0.9068598108464024,0.9852421733967808,0.940453947222186,0.9068598108464024,BPI20RequestForPayment,8.71874120850116
968,23,NAP_model,0.0,8,False,10,10,0.9036274392433856,0.9817535649031915,0.9371165485758458,0.9036274392433856,BPI20RequestForPayment,12.17896131267771
969,23,NAP_model,0.0,8,False,10,20,0.7568538249730635,0.9796243515980988,0.831117477357363,0.7568538249730635,BPI20RequestForPayment,11.694975212449208
970,23,NAP_model,0.0,8,False,10,30,0.903747156710164,0.9819503288966294,0.9374859510499072,0.903747156710164,BPI20RequestForPayment,12.239849754003808
971,23,NAP_model,0.0,16,False,10,5,0.9084161379145216,0.9865902098379888,0.9421239094770538,0.9084161379145216,BPI20RequestForPayment,9.007232020935044
972,23,NAP_model,0.0,16,False,10,10,0.9044654615108344,0.9826832467423592,0.9378807153024762,0.9044654615108344,BPI20RequestForPayment,12.695819954387844
973,23,NAP_model,0.0,16,False,10,20,0.9063809409792888,0.9841013373358052,0.9398679340900732,0.9063809409792888,BPI20RequestForPayment,13.116535195801408
974,23,NAP_model,0.0,16,False,10,30,0.9044654615108344,0.9831794350725378,0.938016542722084,0.9044654615108344,BPI20RequestForPayment,13.403939379099755
975,23,NAP_model,0.0,32,False,10,5,0.9092541601819706,0.9870840360705092,0.9426775762861054,0.9092541601819706,BPI20RequestForPayment,10.067480045789852
976,23,NAP_model,0.0,32,False,10,10,0.9070992457799592,0.9852298867292252,0.940584511168764,0.9070992457799592,BPI20RequestForPayment,14.243988424958662
977,23,NAP_model,0.0,32,False,10,20,0.9066203759128456,0.9847853580602232,0.9402234550531828,0.9066203759128456,BPI20RequestForPayment,14.429044812498612
978,23,NAP_model,0.0,32,False,10,30,0.7529031485693762,0.9980319356461692,0.8408375969805442,0.7529031485693762,BPI20RequestForPayment,14.14325067065656
979,56,SDFA_NAP_model,0.1,8,True,10,5,0.6808276872367698,0.8994190214777286,0.7545614148032118,0.6808276872367698,BPI20PrepaidTravelCosts,4.7071425332687795
980,56,SDFA_NAP_model,0.2,8,True,10,5,0.6454861746932796,0.9131141910923292,0.711921793051881,0.6454861746932796,BPI20PrepaidTravelCosts,4.886009270651266
981,56,SDFA_NAP_model,0.5,8,True,10,5,0.2821827504120124,0.6711254365555166,0.3791338167087296,0.2821827504120124,BPI20PrepaidTravelCosts,5.0214512917213145
982,56,SDFA_NAP_model,0.1,8,True,10,10,0.615088811572972,0.9140558215799416,0.6954927362273184,0.615088811572972,BPI20PrepaidTravelCosts,7.074292370956391
983,56,SDFA_NAP_model,0.2,8,True,10,10,0.5541109686870537,0.9426672420684914,0.659582363568583,0.5541109686870537,BPI20PrepaidTravelCosts,7.710765529656783
984,56,SDFA_NAP_model,0.5,8,True,10,10,0.2827321003479216,0.9437081731849722,0.4232191192179663,0.2827321003479216,BPI20PrepaidTravelCosts,7.1102513709105555
985,56,SDFA_NAP_model,0.1,8,True,10,20,0.6062992125984252,0.9287891086791318,0.691626703728806,0.6062992125984252,BPI20PrepaidTravelCosts,7.971656737243757
986,56,SDFA_NAP_model,0.2,8,True,10,20,0.5938472807178172,0.8935419814548016,0.6970968889831334,0.5938472807178172,BPI20PrepaidTravelCosts,8.287795225111768
987,56,SDFA_NAP_model,0.5,8,True,10,20,0.2266984068851858,0.8828306839051121,0.2721114827708396,0.2266984068851858,BPI20PrepaidTravelCosts,8.274711687397211
988,56,SDFA_NAP_model,0.1,8,True,10,30,0.4894707928950741,0.8851972790605873,0.6092284494619701,0.4894707928950741,BPI20PrepaidTravelCosts,8.46517158318311
989,56,SDFA_NAP_model,0.2,8,True,10,30,0.4237319172312763,0.90750050917309,0.5254096038218341,0.4237319172312763,BPI20PrepaidTravelCosts,8.722045133356005
990,56,SDFA_NAP_model,0.5,8,True,10,30,0.3678813404138436,0.9824557907296958,0.5036513577525653,0.3678813404138436,BPI20PrepaidTravelCosts,8.835392429167404
991,56,SDFA_NAP_model,0.1,16,True,10,5,0.8247573704449734,0.9422314418252716,0.8666009074829747,0.8247573704449734,BPI20PrepaidTravelCosts,5.3215487083885815
992,56,SDFA_NAP_model,0.2,16,True,10,5,0.8302508698040652,0.9307436609679022,0.8674315914830607,0.8302508698040652,BPI20PrepaidTravelCosts,5.355514645762741
993,56,SDFA_NAP_model,0.5,16,True,10,5,0.7919794909357261,0.9374977718951932,0.8448607994042561,0.7919794909357261,BPI20PrepaidTravelCosts,5.225728083169088
994,56,SDFA_NAP_model,0.1,16,True,10,10,0.7956418238417872,0.9425008967364936,0.8473441488776442,0.7956418238417872,BPI20PrepaidTravelCosts,8.218615891598166
995,56,SDFA_NAP_model,0.2,16,True,10,10,0.7978392235854239,0.9437121016874668,0.8528486647625919,0.7978392235854239,BPI20PrepaidTravelCosts,7.952091237716377
996,56,SDFA_NAP_model,0.5,16,True,10,10,0.5934810474272111,0.9144554108372388,0.6914826844129699,0.5934810474272111,BPI20PrepaidTravelCosts,8.068621616531164
997,56,SDFA_NAP_model,0.1,16,True,10,20,0.7048159677714704,0.9353280706276322,0.7751642928306924,0.7048159677714704,BPI20PrepaidTravelCosts,8.784929708298296
998,56,SDFA_NAP_model,0.2,16,True,10,20,0.7960080571323933,0.9188165592270824,0.8321838164168616,0.7960080571323933,BPI20PrepaidTravelCosts,8.826893795933575
999,56,SDFA_NAP_model,0.5,16,True,10,20,0.6925471525361655,0.9366654296235858,0.7745014218713032,0.6925471525361655,BPI20PrepaidTravelCosts,8.912653041724116
1000,56,SDFA_NAP_model,0.1,16,True,10,30,0.8176158212781541,0.9534900923353858,0.8682950384126976,0.8176158212781541,BPI20PrepaidTravelCosts,9.156012991536407
1001,56,SDFA_NAP_model,0.2,16,True,10,30,0.8031496062992126,0.943325739620865,0.8515284799060008,0.8031496062992126,BPI20PrepaidTravelCosts,8.831290008267388
1002,56,SDFA_NAP_model,0.5,16,True,10,30,0.6987731184764695,0.9230935510590704,0.7622844392760928,0.6987731184764695,BPI20PrepaidTravelCosts,8.908753216546028
1003,56,SDFA_NAP_model,0.1,32,True,10,5,0.8595495330525544,0.944426454988884,0.8894500644862563,0.8595495330525544,BPI20PrepaidTravelCosts,6.365222412440926
1004,56,SDFA_NAP_model,0.2,32,True,10,5,0.864127449185131,0.9405827437965928,0.893814854134318,0.864127449185131,BPI20PrepaidTravelCosts,6.256289283232763
1005,56,SDFA_NAP_model,0.5,32,True,10,5,0.8520417505951291,0.9480656914891852,0.8892657058386462,0.8520417505951291,BPI20PrepaidTravelCosts,6.2263587667606775
1006,56,SDFA_NAP_model,0.1,32,True,10,10,0.8392235854239151,0.9390415070725012,0.8741794490405727,0.8392235854239151,BPI20PrepaidTravelCosts,9.451607154216616
1007,56,SDFA_NAP_model,0.2,32,True,10,10,0.8633949826039187,0.9411357851351412,0.8929020166908547,0.8633949826039187,BPI20PrepaidTravelCosts,9.525996687449515
1008,56,SDFA_NAP_model,0.5,32,True,10,10,0.8110236220472441,0.9413171025339604,0.862608598550566,0.8110236220472441,BPI20PrepaidTravelCosts,8.99556436687708
1009,56,SDFA_NAP_model,0.1,32,True,10,20,0.8674235488005859,0.9459018776799408,0.8973767256042173,0.8674235488005859,BPI20PrepaidTravelCosts,10.604555079061535
1010,56,SDFA_NAP_model,0.2,32,True,10,20,0.8196301043764879,0.9226375850999274,0.8588121699460515,0.8196301043764879,BPI20PrepaidTravelCosts,11.1601544290781
1011,56,SDFA_NAP_model,0.5,32,True,10,20,0.7498626625160227,0.9220266820416742,0.8011415542309607,0.7498626625160227,BPI20PrepaidTravelCosts,10.150841604126615
1012,56,SDFA_NAP_model,0.1,32,True,10,30,0.8443508514924006,0.9265294841629036,0.8736603237260764,0.8443508514924006,BPI20PrepaidTravelCosts,25.05723347919993
1013,56,SDFA_NAP_model,0.2,32,True,10,30,0.7597509613623878,0.8483968171865006,0.7909790993846296,0.7597509613623878,BPI20PrepaidTravelCosts,25.99005210832693
1014,56,SDFA_NAP_model,0.5,32,True,10,30,0.8154184215345175,0.9415799559145436,0.8622266498258953,0.8154184215345175,BPI20PrepaidTravelCosts,22.462732629245146
1015,56,NAP_model,0.0,8,False,10,5,0.7615821278154185,0.9141597115543518,0.8083603893912957,0.7615821278154185,BPI20PrepaidTravelCosts,12.197017458407208
1016,56,NAP_model,0.0,8,False,10,10,0.7247756821095037,0.9467829086448863,0.8045000250600768,0.7247756821095037,BPI20PrepaidTravelCosts,22.405129712540656
1017,56,NAP_model,0.0,8,False,10,20,0.5453213697125069,0.966544096621524,0.6163240687190696,0.5453213697125069,BPI20PrepaidTravelCosts,22.18530579153448
1018,56,NAP_model,0.0,8,False,10,30,0.5528291521699322,0.8726319838683183,0.6357798877124927,0.5528291521699322,BPI20PrepaidTravelCosts,26.583036870975047
1019,56,NAP_model,0.0,16,False,10,5,0.8311664530305805,0.937365259555064,0.8745052106863108,0.8311664530305805,BPI20PrepaidTravelCosts,12.33329613734968
1020,56,NAP_model,0.0,16,False,10,10,0.7960080571323933,0.9412348441649856,0.8530326321560253,0.7960080571323933,BPI20PrepaidTravelCosts,24.181660874933005
1021,56,NAP_model,0.0,16,False,10,20,0.7214795824940488,0.9310427640029514,0.7772555105389383,0.7214795824940488,BPI20PrepaidTravelCosts,26.848202333366498
1022,56,NAP_model,0.0,16,False,10,30,0.703717267899652,0.9057344631185548,0.7657823071692575,0.703717267899652,BPI20PrepaidTravelCosts,23.776472408138215
1023,56,NAP_model,0.0,32,False,10,5,0.8655923823475554,0.9433402949807854,0.8957432026531031,0.8655923823475554,BPI20PrepaidTravelCosts,15.417588808340952
1024,56,NAP_model,0.0,32,False,10,10,0.8564365500824025,0.9386005069418704,0.8850777175375844,0.8564365500824025,BPI20PrepaidTravelCosts,24.37334135826677
